dateposted,employment,job_overview,name,salary,url_
" May 07, 2019 ", Part Time ,"
									We are in need of a Virtual Assistant who can handle social media for one of our special accounts and reporting directly to our CEO.",Virtual Assistant Social Media Expert, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298987
" May 07, 2019 ", Part Time ,"
									I need a highly motivated virtual assistant for doing a variety of tasks, which I will show most of them.","Writer Virtual Assistant - Product listing, customer service and order fulfillment", Negotiable,https://www.onlinejobs.ph/jobseekers/job/298800
" May 07, 2019 ", Part Time ,"
									Hi there, ",Copy Writer, 3USD/HR,https://www.onlinejobs.ph/jobseekers/job/298845
" May 07, 2019 ", Full Time ,"
									I'm starting a Printing & Stationery Supply in my area and need a full time Creative Graphic Designer to constantly work on:",Graphics & Multimedia, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298853
" May 07, 2019 ", Full Time ,"
									Looking for someone who has an experience with Amazon Product Listing. ",Experienced Product Lister, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298991
" May 07, 2019 ", Full Time ,"
									SALARY UP TO PHP 40,000/MONTH (base pay+commissions) ",FOR IMMEDIATE HIRING- HOME-BASED CALL CENTER AGENTS (TRANSFERS ONLY!), ,https://www.onlinejobs.ph/jobseekers/job/298998
" May 07, 2019 ", Any ,"
									We are a small growing company that make and distribute our own products in two very different niches; first aid/baby care and vinyl music accessories.  We mainly sell our products on the Amazon platform and we also have our own website and we sell directly to trade customers.",Amazon Support Assistant, $400,https://www.onlinejobs.ph/jobseekers/job/298996
" May 07, 2019 ", Part Time ,"
									I need a VA worker to find items from Aliexpress and list them to (ebay) with autods tool  monitor",Looking for EXPERIENCED eBay Dropshipping Product Researchers, 160$,https://www.onlinejobs.ph/jobseekers/job/298754
" May 07, 2019 ", Full Time ,"
									CLIENT SERVICE MANAGER",Client Service Manager, ,https://www.onlinejobs.ph/jobseekers/job/298966
" May 07, 2019 ", Full Time ,"
									To apply for this position please go to our website and fill out the application form:",Start now: Book Marketing Admin Job#4680, $2/hour + Internet Bonus,https://www.onlinejobs.ph/jobseekers/job/299004
" May 07, 2019 ", Full Time ,"
									Our team requires a VA to assist our Sydney based team with inbound enquiries, fares and ticketing enquiries, hotel bookings and overall admin work within the business. Ideally we are looking for a full time position for someone who has previous experience working in the travel industry space and proficient with SABRE as a GDS, written English skills are very important as you will also be attending to our support tickets via our online system.",Travel Industry Guru with Sabre GDS skills and enthusiastic attitude, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298995
" May 07, 2019 ", Any ,"
									Looking for a VA to do the following for a new Shopify store:",Shopify Store VA, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298942
" May 07, 2019 ", Full Time ,"
									*****************How To Apply ***************","Night shift Easy Job Long-Term Female Appointment Setter (Work at Home , moms are welcome to apply )", 15000/mnth-37000/mnth,https://www.onlinejobs.ph/jobseekers/job/299016
" May 07, 2019 ", Full Time ,"
									Digital Marketing Manager",Digital Marketing Manager - Job ID#1679, $2.00/hour + Internet Bonus,https://www.onlinejobs.ph/jobseekers/job/299003
