dateposted,employment,job_overview,name,salary,url_
" May 05, 2019 ", Freelance ,"
									I'm looking to port an older Obj-C based game into Unity.							",Unity developer, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298392
" May 06, 2019 ", Any ,"
									Hello,",Trainee .Net," 18,000 PHP/Month",https://www.onlinejobs.ph/jobseekers/job/298610
" May 06, 2019 ", Any ,"
									I am looking for someone that is highly knowledgeable and experienced in web app development that can run on wordpress. Duties will be to develop and maintain the web app.							",Web app developer, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298371
" May 05, 2019 ", Any ,"
									Are you an experienced tester delivering high quality assurance capabilities?",Quality Assurance Testers Wanted, ,https://www.onlinejobs.ph/jobseekers/job/298476
" May 06, 2019 ", Full Time ,"
									For example, if I enter the following part number ""5L8Z*6750*AA"" into EBAY, and then click on ""sold items"" on the left-hand side under ""show only"" then it will show me a FORD OEM dipstick that sold for $29.50. I would just want a CSV file or spreadsheet that populates $29.50 into the file. The CSV file may have hundreds of part numbers in it. If things go well with the project then I would like to hire someone full time. The program could be a windows desktop program or an online product.							",Program to use CSV file to populate sell price of item, $300,https://www.onlinejobs.ph/jobseekers/job/298530
" May 06, 2019 ", Any ,"
									I’m looking for a Cyber Security assistant. Computer science or cyber background required!							",Cyber Security Assistant, $200/mnth,https://www.onlinejobs.ph/jobseekers/job/298477
" May 06, 2019 ", Freelance ,"
									Have an idea for a web site and app.  Looking for a developer who can independently put these ideas into a functioning web application and mobile app.  Very simple concept, nothing very difficult.							",Web developer, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298524
" May 06, 2019 ", Full Time ,"
									We're looking for full-stack developers to join our small awesome development team! As a full-stack developer, you’ll be a key team member working directly with our CTO and impacting all layers of our stack (back-end and front-end). This role is home-based, and we’ll consider a recent graduate with relevant experience, or someone more experienced. The main requirement is that you’re hard-working, you get things done and you have a self-starter ""owner"" mentality. *** Please read ""How to apply"". Incomplete applications will not be considered. ***",Full Stack Developer," 40,000 to 100,000+ (negotiable based on experience) + benefits",https://www.onlinejobs.ph/jobseekers/job/265257
" May 06, 2019 ", Full Time ,"
									Job Description",Web developer," 50,000.00/month ( $970 USD )",https://www.onlinejobs.ph/jobseekers/job/298633
" May 06, 2019 ", Full Time ,"
									We are a 19-year-old USA based company seeking for an **Intermediate to Advanced Skill Level PHP Object Oriented Programmer** with at least 2 years of experience. Applicant must be located in or near MINTAL (For DAVAO CITY office) or LAHUG IT PARK (For CEBU office) and willing to work either of these shifts 5pm - 2am or 2nd shift from 2am - 11am PI time.",Intermediate to Senior Level PHP Object Oriented Developer NEEDED!, FULL TIME - negotiable,https://www.onlinejobs.ph/jobseekers/job/86650
" May 06, 2019 ", Freelance ,"
									We're looking for someone with experience building web applications and someone that can build ios and android apps as well. ",Freelance Web Application and Mobile App developer, negotiable,https://www.onlinejobs.ph/jobseekers/job/293816
" May 06, 2019 ", Freelance ,"
									We're looking to create software that will allow us to easily quote, invoice, and create purchase orders for our custom cabinet shop. ",Software Developer For Custom Cabinet Company, $500/mo,https://www.onlinejobs.ph/jobseekers/job/298728
" May 06, 2019 ", Any ,"
									Looking for:",Looking for a virtual assistant/developer, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298509
" May 07, 2019 ", Freelance ,"
									Searching for a web/mobile UX/UI designer for support in an agile developer team. Main focus will be creating functional mockups based on provided specifications and basic mockups.							",Web and Mobile UX / UI Design, ,https://www.onlinejobs.ph/jobseekers/job/298795
" May 06, 2019 ", Full Time ,"
									Dear applicant,",Assistant Project Manager needed, $300/month,https://www.onlinejobs.ph/jobseekers/job/298759
" May 07, 2019 ", Full Time ,"
									Hello,",Amazon Product Sourcer, $200-600/month,https://www.onlinejobs.ph/jobseekers/job/298819
" May 06, 2019 ", Part Time ,"
									I want to start a WordPress blog where I post regular articles. I currently use Newspaper as my theme, but am open to other suggestions. The most important thing is you have to be able to clearly explain everything you do in the WordPress site so I can also edit things myself. You will also be good at planning and organising other projects related to the website, such as coordinating things  that need to be done to get the free guide up on the website for people to download. Expected to be approx 10 hours per week							",WordPress Wizard / Personal Assistant, $100/month,https://www.onlinejobs.ph/jobseekers/job/298313
" May 06, 2019 ", Any ,"
									We are looking for a Wordpress Developer who can help us with restructuring our current Website. You need to be able to develop Websites via Wordpress and it is of advantage if you speak German!",Wordpress Developer, €,https://www.onlinejobs.ph/jobseekers/job/298740
" May 06, 2019 ", Full Time ,"
									Seeking multiple (Or A Team) of creative, talented, dedicated, experienced Engineer/Developer to work on expanding and upgrading an existing healthcare application that uses Laravel Framework. ",Full Time Engineer/Developer To Expand Existing Software Platform Laravel/PHP, 75000/mnth +,https://www.onlinejobs.ph/jobseekers/job/298763
" May 06, 2019 ", Full Time ,"
									Expert PHP programmer wanted for USA Online Photo Editing Company. After familiarization of our system, required to work daytime USA hours 9am to 6pm.  However to start, you will work 12:30 pm to 9:30 pm (Philippine time).  ",Davao Office-Based Expert PHP Developer Wanted for USA owned Company (night shift needed)," 50,000 increasing up to 75,000",https://www.onlinejobs.ph/jobseekers/job/298688
" May 06, 2019 ", Part Time ,"
									Application Process",Virtual Assistant and Project Coordinator, ,https://www.onlinejobs.ph/jobseekers/job/298699
" May 06, 2019 ", Any ,"
									Seeking an experienced mobile developer or developers to develop a mobile application for our existing healthcare platform and telehealth system. ",Mobile IOS/Android Developer For Healthcare Application, 45000-75000/mnth + Negotiable,https://www.onlinejobs.ph/jobseekers/job/298785
" May 06, 2019 ", Freelance ,"
									",Rockstar Virtual Assistant Needed, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298298
" May 06, 2019 ", Full Time ,"
									we need one person work with amazon listing. how to arrange reviews and",amazon service, 800,https://www.onlinejobs.ph/jobseekers/job/298251
" May 06, 2019 ", Freelance ,"
									Hi... I'm a busy online entrepreneur looking for an experienced frontend web developer to help work on our React/Redux single page web application. The app runs completely inside a Docker container and the source code managed using Git.",Frontend React Developer Role, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298305
" May 06, 2019 ", Full Time ,"
									Fledgling Website Service Company Needs Assistance with Online Content Management and Customer Support/ Service.","VA for Researching, Writing, and Customer Support. WordPress/ Design Experience a big plus", negotiable,https://www.onlinejobs.ph/jobseekers/job/298797
" May 06, 2019 ", Full Time ,"
									Manage accounts team",Accountant for Logistics Company, USD$200/month,https://www.onlinejobs.ph/jobseekers/job/298478
" May 07, 2019 ", Full Time ,"
									Hello!",*** Experienced Full Time Virtual Assistant Needed ASAP ***," PHP 40,000/mnth, $750USD/mnth, Negotiable",https://www.onlinejobs.ph/jobseekers/job/298846
" May 07, 2019 ", Any ,"
									Are you looking to join one of the up and coming consultancies in the United States? ",Graphic Designer/Lead Generation Specialist/Social Media Manager, $400,https://www.onlinejobs.ph/jobseekers/job/298760
" May 06, 2019 ", Any ,"
									I am a highly ambitious and passionate entrepreneur who has been featured on Inc., The Huffington Post and other major publications magazines. I am seeking the top 1% to join our team. This a full time position and a great opportunity for someone to join a thriving, creative team of individuals. Experience is required. This is the graveyard shift. 8AM-5PM CST ",General VA: Processing orders/sales support role (work from home), based on experience,https://www.onlinejobs.ph/jobseekers/job/298714
" May 07, 2019 ", Any ,"
									We are a National Burger Restaurant chain with 26 stores (Opening 3 more this year) looking to expand our team to include an international component.",Data Analyst needed! POWER BI Experience a MUST, Negotiable,https://www.onlinejobs.ph/jobseekers/job/293781
" May 06, 2019 ", Full Time ,"
									Are you optimistic, tech-savvy, self-motivated, have discipline and an eagerness to learn?",Looking For A Kick Ass Virtual Assistant To Hire ASAP!, $400/month (negotiable),https://www.onlinejobs.ph/jobseekers/job/298847
" May 06, 2019 ", Full Time ,"
									Must be proficient with 2020Design, Chief Architect or AutoCAD. ",3D CAD Kitchen Designer, $500/mo,https://www.onlinejobs.ph/jobseekers/job/298727
" May 07, 2019 ", Full Time ,"
									StartupBros is the largest site for entrepreneurs trying to quit their 9-to-5 jobs. We create the world's best online business courses & training for new entrepreneurs.",Lead Project & Process Manager," 25,000 - 70,000 PHP/month",https://www.onlinejobs.ph/jobseekers/job/298571
" May 07, 2019 ", Full Time ,"
									Seeking energetic people  who can make calls and who want to advance their career!",Comfortable making calls??? Real Estate Investor Seeking..., ,https://www.onlinejobs.ph/jobseekers/job/298830
" May 07, 2019 ", Freelance ,"
									I need an experienced",Email Marketer with lead Generation Experience, 4 aud,https://www.onlinejobs.ph/jobseekers/job/298968
" May 07, 2019 ", Any ,"
									I am looking for a sales person to promote my business and sell websites and all the related services. Must have a good understanding of closing a sale and making connection at a personal level not just selling a product. Must have good knowledge of Web Design, Graphic Design, SEO, Marketing and general B2B sales.							",Sales Person, $300 - $500 Negotiable,https://www.onlinejobs.ph/jobseekers/job/298958
" May 06, 2019 ", Full Time ,"
									If you want to join a team which is driven by innovation, challenges and solving media problems read on.  If you want to be hand held and be told what to do - this isn’t for you.  We need someone who is energetic, and great at working with their own determination in a team that fosters creativity and supports and mentors you. If you do proceed with the application, make sure you read this till the end... ","Marketing Executive - join the family (once you are in, you will never want to leave)", ,https://www.onlinejobs.ph/jobseekers/job/233482
" May 07, 2019 ", Any ,"
									Goals: ",Long-term project mgmt; Atlassian (Jira/Service desk/Confluence) setup+maint.; Cont. business process optimization, 10 USD/h,https://www.onlinejobs.ph/jobseekers/job/298984
" May 07, 2019 ", Any ,"
									Brand Visual Identity",Brand Visual Identity, negotiable,https://www.onlinejobs.ph/jobseekers/job/298878
" May 07, 2019 ", Full Time ,"
									f you are a highly skilled web developer, sick of relying on the uncertainty of freelancing or project work, and are looking for a stable, growing company and regular pay for regular work hours we may have the role for you.",Web Developer, ,https://www.onlinejobs.ph/jobseekers/job/298889
" May 07, 2019 ", Full Time ,"
									We are a commercial construction and real estate company based in the United States and are looking for a full-time team member to assist in our estimating/purchasing department and develop subcontractor and vendor relationships. We are based on the East Coast and our office hours are from 8 AM to 5 PM (EST), so we would need someone to be available during these hours Monday through Friday. This position requires the following skills and technical abilities:",Pre-Construction Estimating and Purchasing Associate, $450-$600 USD,https://www.onlinejobs.ph/jobseekers/job/299021
" May 07, 2019 ", Full Time ,"
									Are you looking for an opportunity to develop with a stable and growing industry leader?",SEO Department Head - Homebased," Php40,000.00",https://www.onlinejobs.ph/jobseekers/job/298887
" May 06, 2019 ", Full Time ,"
									We are an Australian eCommerce business that has our own website. We are looking for a full time Web Developer who has several years experience in PHP programming including eCommerce website and APIs (e.g. eBay APIs, NetSuite, Paypal, etc.), highly motivated persons with the right attitude and keen willingness to learn.","Full Time PHP Developer *** P50,000 per month ***"," PHP 50,000 per month",https://www.onlinejobs.ph/jobseekers/job/298897
" May 07, 2019 ", Full Time ,"
									We are an eCommerce business selling products through eCommerce channels like Amazon, eBay, etc. We are seeking a detail-oriented person to fill the role of a Buyers Assistant,							",Buyers Assistant, ,https://www.onlinejobs.ph/jobseekers/job/298815
" May 06, 2019 ", Full Time ,"
									Looking for a developer to assist in the development and growth of our ",ARE YOU AN AWESOME FULL STACK DEV? FULL TIME - OFFICE-BASED OFFER????????, FULL TIME,https://www.onlinejobs.ph/jobseekers/job/25808
" May 07, 2019 ", Any ,"
									We need Web / Graphic Designer that specializes in creating Shopify Stores. ",URGENT:   Shopify Web / Graphic Designer EXPERT, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298909
" May 07, 2019 ", Freelance ,"
									- Able to communicate in English for the aspect of the project",Wordpress Developer, Negotiable,https://www.onlinejobs.ph/jobseekers/job/298836
" May 06, 2019 ", Any ,"
									Experience necessary and long term work available including advancement!",WANTED:  Rock Star VA - Detail Oriented that knows the online sales market, Negotiable,https://www.onlinejobs.ph/jobseekers/job/177984
" May 07, 2019 ", Part Time ,"
									I am looking for a new employee that has skills in digital marketing, sales funnels, course creation and social media. This person will work between 20 - 40 hours per week depending on if the right person wants full time or part-time work. ",Digital Marketing Expert with Graphic Design Skills, $400 - $1000 PM,https://www.onlinejobs.ph/jobseekers/job/298921
" May 07, 2019 ", Full Time ,"
									To All Kabayan!",Developer / IT Professional, 800 usd,https://www.onlinejobs.ph/jobseekers/job/298976
" May 07, 2019 ", Full Time ,"
									We are in search of a word press and php developer who has knowledge of both and who will be with our luxury brand for the foreseeable ",word press whiz kid, from 200 a month base plus 10?filiate sales,https://www.onlinejobs.ph/jobseekers/job/298982
" May 07, 2019 ", Full Time ,"
									We’re a well established software company with lots of web based software and thousands of customers. We’re looking for YOU to help our team for creating new software. We need YOU to manage multiple project and software lifecycle and make sure everything is on track.","**URGENT HIRING**  Expert PHP Programmer, PHP Developer for Software Company", $400/month,https://www.onlinejobs.ph/jobseekers/job/298971
" May 07, 2019 ", Part Time ,"
									We are looking for a Shopify Developer who will be helping us develop our Shopify store. You will play a key role in building our company’s web presence.",***SHOPIFY DEVELOPER - Start ASAP***, $500-$800/month,https://www.onlinejobs.ph/jobseekers/job/298989
